City, Distance
Linkoping, 15
Vaxjo, 240
Uddevalla, 315
Falun, 350
Kungalv, 340
Eskilstuna, 180
Mora, 190
Sunne, 300
Tibro, 200
Lund, 400
Karlstad, 245
Kramfors, 690
Skara, 220
Toreboda, 170
Vara, 250
Degerfors, 180
Simrishamn, 500
Ockelbo, 380
Karlskoga, 160
Laxa, 125
Vetlanda, 175
Gavle, 380
Karlskrona, 300
Vanersborg, 280
Lidkoping, 230
Vasteras, 200
Flen, 130
Kristianstad, 350
Heby, 275
Vimmerby, 115
Osthammar, 330
Jarfalla, 245
Ulricehamn, 190
Stockholm, 200
Hammaro, 240
Rattvik, 265
Enkoping, 220
Orebro, 140
